id_cliente,anot_cadastrais,indice_inad,class_renda,saldo_contas,Risco
0,5.1,3.5,1.4,0.2,Risco_Alto
1,4.9,3,1.4,0.2,Risco_Alto
2,4.7,3.2,1.3,0.2,Risco_Alto
3,4.6,3.1,1.5,0.2,Risco_Alto
4,5,3.6,1.4,0.2,Risco_Alto
5,5.4,3.9,1.7,0.4,Risco_Alto
6,4.6,3.4,1.4,0.3,Risco_Alto
7,5,3.4,1.5,0.2,Risco_Alto
8,4.4,2.9,1.4,0.2,Risco_Alto
9,4.9,3.1,1.5,0.1,Risco_Alto
10,5.4,3.7,1.5,0.2,Risco_Alto
11,4.8,3.4,1.6,0.2,Risco_Alto
12,4.8,3,1.4,0.1,Risco_Alto
13,4.3,3,1.1,0.1,Risco_Alto
14,5.8,4,1.2,0.2,Risco_Alto
15,5.7,4.4,1.5,0.4,Risco_Alto
16,5.4,3.9,1.3,0.4,Risco_Alto
17,5.1,3.5,1.4,0.3,Risco_Alto
18,5.7,3.8,1.7,0.3,Risco_Alto
19,5.1,3.8,1.5,0.3,Risco_Alto
20,5.4,3.4,1.7,0.2,Risco_Alto
21,5.1,3.7,1.5,0.4,Risco_Alto
22,4.6,3.6,1,0.2,Risco_Alto
23,5.1,3.3,1.7,0.5,Risco_Alto
24,4.8,3.4,1.9,0.2,Risco_Alto
25,5,3,1.6,0.2,Risco_Alto
26,5,3.4,1.6,0.4,Risco_Alto
27,5.2,3.5,1.5,0.2,Risco_Alto
28,5.2,3.4,1.4,0.2,Risco_Alto
29,4.7,3.2,1.6,0.2,Risco_Alto
30,4.8,3.1,1.6,0.2,Risco_Alto
31,5.4,3.4,1.5,0.4,Risco_Alto
32,5.2,4.1,1.5,0.1,Risco_Alto
33,5.5,4.2,1.4,0.2,Risco_Alto
34,4.9,3.1,1.5,0.1,Risco_Alto
35,5,3.2,1.2,0.2,Risco_Alto
36,5.5,3.5,1.3,0.2,Risco_Alto
37,4.9,3.1,1.5,0.1,Risco_Alto
38,4.4,3,1.3,0.2,Risco_Alto
39,5.1,3.4,1.5,0.2,Risco_Alto
40,5,3.5,1.3,0.3,Risco_Alto
41,4.5,2.3,1.3,0.3,Risco_Alto
42,4.4,3.2,1.3,0.2,Risco_Alto
43,5,3.5,1.6,0.6,Risco_Alto
44,5.1,3.8,1.9,0.4,Risco_Alto
45,4.8,3,1.4,0.3,Risco_Alto
46,5.1,3.8,1.6,0.2,Risco_Alto
47,4.6,3.2,1.4,0.2,Risco_Alto
48,5.3,3.7,1.5,0.2,Risco_Alto
49,5,3.3,1.4,0.2,Risco_Alto
50,7,3.2,4.7,1.4,Risco_Medio
51,6.4,3.2,4.5,1.5,Risco_Medio
52,6.9,3.1,4.9,1.5,Risco_Medio
53,5.5,2.3,4,1.3,Risco_Medio
54,6.5,2.8,4.6,1.5,Risco_Medio
55,5.7,2.8,4.5,1.3,Risco_Medio
56,6.3,3.3,4.7,1.6,Risco_Medio
57,4.9,2.4,3.3,1,Risco_Medio
58,6.6,2.9,4.6,1.3,Risco_Medio
59,5.2,2.7,3.9,1.4,Risco_Medio
60,5,2,3.5,1,Risco_Medio
61,5.9,3,4.2,1.5,Risco_Medio
62,6,2.2,4,1,Risco_Medio
63,6.1,2.9,4.7,1.4,Risco_Medio
64,5.6,2.9,3.6,1.3,Risco_Medio
65,6.7,3.1,4.4,1.4,Risco_Medio
66,5.6,3,4.5,1.5,Risco_Medio
67,5.8,2.7,4.1,1,Risco_Medio
68,6.2,2.2,4.5,1.5,Risco_Medio
69,5.6,2.5,3.9,1.1,Risco_Medio
70,5.9,3.2,4.8,1.8,Risco_Medio
71,6.1,2.8,4,1.3,Risco_Medio
72,6.3,2.5,4.9,1.5,Risco_Medio
73,6.1,2.8,4.7,1.2,Risco_Medio
74,6.4,2.9,4.3,1.3,Risco_Medio
75,6.6,3,4.4,1.4,Risco_Medio
76,6.8,2.8,4.8,1.4,Risco_Medio
77,6.7,3,5,1.7,Risco_Medio
78,6,2.9,4.5,1.5,Risco_Medio
79,5.7,2.6,3.5,1,Risco_Medio
80,5.5,2.4,3.8,1.1,Risco_Medio
81,5.5,2.4,3.7,1,Risco_Medio
82,5.8,2.7,3.9,1.2,Risco_Medio
83,6,2.7,5.1,1.6,Risco_Medio
84,5.4,3,4.5,1.5,Risco_Medio
85,6,3.4,4.5,1.6,Risco_Medio
86,6.7,3.1,4.7,1.5,Risco_Medio
87,6.3,2.3,4.4,1.3,Risco_Medio
88,5.6,3,4.1,1.3,Risco_Medio
89,5.5,2.5,4,1.3,Risco_Medio
90,5.5,2.6,4.4,1.2,Risco_Medio
91,6.1,3,4.6,1.4,Risco_Medio
92,5.8,2.6,4,1.2,Risco_Medio
93,5,2.3,3.3,1,Risco_Medio
94,5.6,2.7,4.2,1.3,Risco_Medio
95,5.7,3,4.2,1.2,Risco_Medio
96,5.7,2.9,4.2,1.3,Risco_Medio
97,6.2,2.9,4.3,1.3,Risco_Medio
98,5.1,2.5,3,1.1,Risco_Medio
99,5.7,2.8,4.1,1.3,Risco_Medio
100,6.3,3.3,6,2.5,Risco_Baixo
101,5.8,2.7,5.1,1.9,Risco_Baixo
102,7.1,3,5.9,2.1,Risco_Baixo
103,6.3,2.9,5.6,1.8,Risco_Baixo
104,6.5,3,5.8,2.2,Risco_Baixo
105,7.6,3,6.6,2.1,Risco_Baixo
106,4.9,2.5,4.5,1.7,Risco_Baixo
107,7.3,2.9,6.3,1.8,Risco_Baixo
108,6.7,2.5,5.8,1.8,Risco_Baixo
109,7.2,3.6,6.1,2.5,Risco_Baixo
110,6.5,3.2,5.1,2,Risco_Baixo
111,6.4,2.7,5.3,1.9,Risco_Baixo
112,6.8,3,5.5,2.1,Risco_Baixo
113,5.7,2.5,5,2,Risco_Baixo
114,5.8,2.8,5.1,2.4,Risco_Baixo
115,6.4,3.2,5.3,2.3,Risco_Baixo
116,6.5,3,5.5,1.8,Risco_Baixo
117,7.7,3.8,6.7,2.2,Risco_Baixo
118,7.7,2.6,6.9,2.3,Risco_Baixo
119,6,2.2,5,1.5,Risco_Baixo
120,6.9,3.2,5.7,2.3,Risco_Baixo
121,5.6,2.8,4.9,2,Risco_Baixo
122,7.7,2.8,6.7,2,Risco_Baixo
123,6.3,2.7,4.9,1.8,Risco_Baixo
124,6.7,3.3,5.7,2.1,Risco_Baixo
125,7.2,3.2,6,1.8,Risco_Baixo
126,6.2,2.8,4.8,1.8,Risco_Baixo
127,6.1,3,4.9,1.8,Risco_Baixo
128,6.4,2.8,5.6,2.1,Risco_Baixo
129,7.2,3,5.8,1.6,Risco_Baixo
130,7.4,2.8,6.1,1.9,Risco_Baixo
131,7.9,3.8,6.4,2,Risco_Baixo
132,6.4,2.8,5.6,2.2,Risco_Baixo
133,6.3,2.8,5.1,1.5,Risco_Baixo
134,6.1,2.6,5.6,1.4,Risco_Baixo
135,7.7,3,6.1,2.3,Risco_Baixo
136,6.3,3.4,5.6,2.4,Risco_Baixo
137,6.4,3.1,5.5,1.8,Risco_Baixo
138,6,3,4.8,1.8,Risco_Baixo
139,6.9,3.1,5.4,2.1,Risco_Baixo
140,6.7,3.1,5.6,2.4,Risco_Baixo
141,6.9,3.1,5.1,2.3,Risco_Baixo
142,5.8,2.7,5.1,1.9,Risco_Baixo
143,6.8,3.2,5.9,2.3,Risco_Baixo
144,6.7,3.3,5.7,2.5,Risco_Baixo
145,6.7,3,5.2,2.3,Risco_Baixo
146,6.3,2.5,5,1.9,Risco_Baixo
147,6.5,3,5.2,2,Risco_Baixo
148,6.2,3.4,5.4,2.3,Risco_Baixo
149,5.9,3,5.1,1.8,Risco_Baixo
